Title,Year,Genre,Director,Lead_Actor,Budget_INR,BoxOffice_INR,IMDb_Rating,TMDB_Rating,BoxOfficeMojo_Score,Duration_Minutes,Language,Production_House,Release_Month,Certification
Pathaan,2014,Sci-Fi,Shoojit Sircar,Ranveer Singh,157000000,712596612.4,9.9,8.8,1.63,102,Hindi,Production House 189,July,U
Chak De India,2001,Action,Lokesh Kanagaraj,Ranbir Kapoor,11000000,30619864.32,8.2,4.9,97.31,118,Tamil,Production House 69,October,U
Jawan,1994,Romance,Rajkumar Hirani,Salman Khan,42000000,110168193,2.9,3.5,88.06,94,Hindi,Production House 46,May,A
RRR,1990,Romance,Vetrimaaran,Shah Rukh Khan,123000000,398132505.5,6.3,8.4,81.54,156,Tamil,Production House 103,July,A
Pathaan,2013,Comedy,Shoojit Sircar,Amitabh Bachchan,90000000,255020842.4,5.7,8.9,81.24,110,Hindi,Production House 239,August,U/A
Sholay,2003,Romance,Anurag Kashyap,Vijay,90000000,225746217.2,5.6,7.6,83.44,98,Hindi,Production House 112,October,U
Chak De India,1985,Sci-Fi,Zoya Akhtar,Aamir Khan,95000000,124673936.6,3.7,4.2,43.43,156,Hindi,Production House 316,December,A
Andhadhun,1996,Romance,Meghna Gulzar,Ranbir Kapoor,125000000,286037774,2.9,3.1,79.19,133,Hindi,Production House 32,July,U/A
War,2007,Action,Anurag Kashyap,Salman Khan,101000000,178689771,7.5,7.4,36.72,151,Hindi,Production House 252,October,A
Pathaan,2010,Drama,Lokesh Kanagaraj,Rajkummar Rao,177000000,407470154.7,1.9,1.5,84.84,156,Hindi,Production House 407,February,U
Tanu Weds Manu,2015,Adventure,Anurag Kashyap,Vijay,164000000,519750821.9,1.4,4.5,61.8,151,Tamil,Production House 403,April,U
Sooryavanshi,1988,Horror,Meghna Gulzar,Ranveer Singh,107000000,346662111.4,4.4,7.8,35.83,151,Hindi,Production House 27,June,U
ZNMD,1989,Thriller,Lokesh Kanagaraj,Allu Arjun,164000000,258132171,7.7,6.3,74.55,149,Telugu,Production House 469,September,U
Chak De India,2000,Thriller,Zoya Akhtar,Ranveer Singh,5000000,4400769.549,8.8,7.6,24.28,138,Hindi,Production House 290,May,A
Sholay,2013,Romance,Mani Ratnam,Prabhas,49000000,188648510.4,5.9,6.2,96.47,128,Telugu,Production House 322,December,U/A
Singham,2010,Romance,Imtiaz Ali,Nawazuddin Siddiqui,68000000,195742632,8.6,3.2,66.47,130,Hindi,Production House 117,February,U
Tanu Weds Manu,2008,Horror,S. S. Rajamouli,Akshay Kumar,139000000,346034394.2,1.2,5.3,40.12,139,Hindi,Production House 309,April,U/A
PK,2022,Thriller,Kabir Khan,Aamir Khan,170000000,184140533.6,5.1,8,55.07,106,Hindi,Production House 137,August,U
Barfi,2022,Action,Vetrimaaran,Sushant Singh Rajput,74000000,175083029.1,2.2,3.1,73.76,142,Tamil,Production House 159,April,A
Dangal,1990,Adventure,Zoya Akhtar,Nawazuddin Siddiqui,185000000,773631034.3,6.2,9.7,79.73,144,Hindi,Production House 312,August,U
Queen,2012,Thriller,Rajkumar Hirani,Nawazuddin Siddiqui,79000000,246200366.3,9.3,2.8,97.5,167,Hindi,Production House 352,April,A
Bajrangi Bhaijaan,1980,Thriller,Shoojit Sircar,Rajkummar Rao,77000000,70023015.16,1.1,1.1,20.9,164,Hindi,Production House 376,August,U
Bajrangi Bhaijaan,2000,Sci-Fi,Imtiaz Ali,Aamir Khan,162000000,323228572,7,8,50.44,145,Hindi,Production House 74,March,U
Dangal,2002,Thriller,Karan Johar,Salman Khan,154000000,756002804,8.1,9.4,9.15,90,Hindi,Production House 420,April,A
Article 15,1988,Romance,Kabir Khan,Nawazuddin Siddiqui,190000000,560553888,7.7,3.2,8.23,154,Hindi,Production House 409,October,U/A
Singham,1980,Sci-Fi,Shoojit Sircar,Kartik Aaryan,77000000,137736241.6,1.2,2.4,10.43,153,Hindi,Production House 385,September,U/A
Chak De India,2000,Romance,Imtiaz Ali,Shah Rukh Khan,59000000,272019580.1,2.6,3,25.95,141,Hindi,Production House 214,May,U
Kantara,2001,Horror,Zoya Akhtar,Salman Khan,50000000,100600142.7,1.8,6.7,69.63,104,Hindi,Production House 389,March,U
PK,1983,Thriller,Meghna Gulzar,Vijay,101000000,382242883.5,1.8,6.2,86.11,91,Tamil,Production House 51,March,U/A
ZNMD,1980,Adventure,Zoya Akhtar,Aamir Khan,158000000,183673779.6,7.6,6.6,43.6,101,Hindi,Production House 161,April,A
Article 15,1989,Romance,Kabir Khan,Rajkummar Rao,196000000,236026926.6,4.8,1.1,55.52,134,Hindi,Production House 437,February,U
Pathaan,1994,Horror,Karan Johar,Prabhas,141000000,426653745.9,7.5,2.4,20.64,146,Hindi,Production House 337,July,A
Padmaavat,2015,Thriller,Imtiaz Ali,Sushant Singh Rajput,19000000,30004893.74,4.2,3.2,79.11,131,Hindi,Production House 470,July,U/A
Jawan,2008,Adventure,Vetrimaaran,Allu Arjun,151000000,109021152.8,2.1,7.3,88.84,91,Telugu,Production House 467,September,U
Queen,1984,Action,S. S. Rajamouli,Akshay Kumar,148000000,691025983,7.5,6.5,48.56,176,Telugu,Production House 189,August,U/A
Article 15,2008,Romance,Rajkumar Hirani,Kartik Aaryan,29000000,21806636.09,6.6,6.6,16.09,151,Hindi,Production House 419,March,U/A
Sholay,2006,Adventure,Zoya Akhtar,Pankaj Tripathi,103000000,384032460.5,2,6.1,0.51,123,Hindi,Production House 419,May,A
Dangal,2004,Adventure,Vetrimaaran,Ranbir Kapoor,183000000,365713825,9.3,7.7,53.64,106,Tamil,Production House 236,August,A
ZNMD,1995,Adventure,Imtiaz Ali,Nawazuddin Siddiqui,81000000,380762559.8,3.8,9.5,49.76,130,Hindi,Production House 83,August,A
Chak De India,1995,Drama,Lokesh Kanagaraj,Akshay Kumar,178000000,878827963.7,6.9,7.1,92.58,167,Hindi,Production House 283,February,A
DDLJ,2015,Adventure,Shoojit Sircar,Sushant Singh Rajput,11000000,22103817.24,1.3,7.7,3.65,164,Hindi,Production House 139,December,U
Sholay,2004,Horror,Vetrimaaran,Salman Khan,38000000,120079266.2,5,6.5,14.9,173,Tamil,Production House 234,January,U
KGF,2020,Romance,Karan Johar,Shah Rukh Khan,62000000,246662746.5,9.7,8.2,19.77,160,Hindi,Production House 28,May,U
Chak De India,1980,Action,Rajkumar Hirani,Vijay,82000000,86538050.14,9,9.5,54.71,154,Hindi,Production House 138,January,A
Pathaan,1984,Action,Imtiaz Ali,Kartik Aaryan,27000000,99699669.92,3,6.4,28.47,104,Hindi,Production House 291,July,U/A
Dangal,2020,Romance,Sanjay Leela Bhansali,Aamir Khan,155000000,709572745.4,8.9,2.6,20.57,127,Hindi,Production House 274,August,U
Andhadhun,1999,Adventure,Zoya Akhtar,Aamir Khan,149000000,194185957.9,3.6,7.9,51.44,162,Hindi,Production House 133,November,A
Andhadhun,1984,Comedy,S. S. Rajamouli,Salman Khan,145000000,619758334.6,8.7,6.9,4.07,154,Hindi,Production House 390,June,U
Barfi,2015,Horror,Lokesh Kanagaraj,Ayushmann Khurrana,126000000,128547169,7.6,9.4,97.52,98,Hindi,Production House 342,March,U
ZNMD,2008,Thriller,Kabir Khan,Sushant Singh Rajput,31000000,94778086.67,4.2,3.4,86.1,131,Hindi,Production House 158,December,U
Swades,2013,Thriller,Mani Ratnam,Hrithik Roshan,70000000,141899555.8,9.2,9.7,27.2,155,Tamil,Production House 338,October,A
KGF,1997,Action,Lokesh Kanagaraj,Ranveer Singh,105000000,275385744.1,5.4,6,33.62,175,Hindi,Production House 493,January,U
Dangal,1981,Adventure,Karan Johar,Rajkummar Rao,162000000,300160862.6,3.9,9.7,24.59,178,Hindi,Production House 321,February,U/A
Tanu Weds Manu,1995,Romance,Lokesh Kanagaraj,Vijay,136000000,227450095.4,3.5,8.1,92.84,140,Tamil,Production House 196,February,U
Barfi,2008,Comedy,Rajkumar Hirani,Shah Rukh Khan,98000000,376724382.7,9.5,8.8,65.32,167,Hindi,Production House 190,October,A
Sooryavanshi,2012,Horror,Rajkumar Hirani,Ayushmann Khurrana,71000000,106784672.1,7.8,3.9,52.12,169,Hindi,Production House 362,February,A
Lagaan,1995,Drama,Mani Ratnam,Salman Khan,146000000,341327370,4.1,3,50.86,108,Hindi,Production House 176,October,U
3 Idiots,2014,Thriller,Kabir Khan,Amitabh Bachchan,15000000,26032602.85,3.3,6.6,16.59,120,Hindi,Production House 112,May,U
Dangal,2022,Sci-Fi,Anurag Kashyap,Sushant Singh Rajput,44000000,69249746.66,2.9,4.4,96.26,155,Hindi,Production House 152,February,U/A
Sooryavanshi,2021,Horror,Neeraj Pandey,Ranveer Singh,135000000,448460887.4,3.2,9.9,91.46,121,Hindi,Production House 81,September,U/A
3 Idiots,1996,Adventure,Mani Ratnam,Sushant Singh Rajput,5000000,3522143.866,2,5.5,95.24,164,Hindi,Production House 171,June,U/A
Kahaani,1983,Horror,Karan Johar,Salman Khan,13000000,52650576.11,5.4,2,29.09,97,Hindi,Production House 375,July,A
Sholay,1983,Comedy,Rajkumar Hirani,Irrfan Khan,116000000,343134181.4,1.4,5.5,47.66,158,Hindi,Production House 341,March,U
Dangal,2004,Horror,Imtiaz Ali,Vijay,77000000,325553557.8,1.1,5.8,51.89,121,Hindi,Production House 200,October,U
Andhadhun,2012,Thriller,Vetrimaaran,Irrfan Khan,128000000,186697206.4,6.6,1,48.97,136,Hindi,Production House 494,July,U
Dangal,1993,Romance,Anurag Kashyap,Amitabh Bachchan,80000000,295386174.7,1.8,3.2,1.92,159,Hindi,Production House 274,April,A
Andhadhun,2003,Adventure,Neeraj Pandey,Nawazuddin Siddiqui,133000000,318219429.1,8.6,1,83.31,97,Hindi,Production House 161,August,U/A
Kahaani,1990,Thriller,Mani Ratnam,Pankaj Tripathi,148000000,125151448.8,2,6,74.65,123,Tamil,Production House 94,September,A
ZNMD,2004,Drama,S. S. Rajamouli,Hrithik Roshan,98000000,380842089,5.9,3.6,47.48,93,Telugu,Production House 9,May,A
Padmaavat,2007,Romance,Lokesh Kanagaraj,Rajkummar Rao,76000000,298668034.5,7.1,2.6,26.74,125,Hindi,Production House 180,March,U
RRR,1986,Action,Shoojit Sircar,Salman Khan,50000000,85956294.83,3.1,8.5,63.5,133,Hindi,Production House 11,November,A
Jawan,2015,Comedy,Kabir Khan,Ajay Devgn,142000000,656353406.1,9,1.3,13.83,114,Hindi,Production House 452,June,U/A
KGF,1989,Adventure,Imtiaz Ali,Sushant Singh Rajput,165000000,649747574.1,5.3,7.2,99.73,115,Hindi,Production House 2,March,U
3 Idiots,2015,Thriller,Zoya Akhtar,Allu Arjun,106000000,199323265.1,3.8,6.2,12.53,122,Hindi,Production House 283,June,U
Pushpa,2010,Romance,Neeraj Pandey,Prabhas,45000000,70919560.84,9.1,7.9,5.85,98,Telugu,Production House 402,July,U
Pushpa,1998,Horror,S. S. Rajamouli,Shah Rukh Khan,183000000,453913749.1,8.7,2.2,61.24,136,Telugu,Production House 357,June,U/A
Sooryavanshi,1997,Romance,Mani Ratnam,Ranveer Singh,26000000,47256408.33,7.4,8.8,46.34,161,Hindi,Production House 162,April,A
Tanu Weds Manu,1985,Thriller,S. S. Rajamouli,Aamir Khan,148000000,218537353.9,3.6,3.9,71.9,106,Hindi,Production House 438,July,U
Padmaavat,2007,Action,S. S. Rajamouli,Irrfan Khan,87000000,199747946.5,4.5,1.1,12.8,104,Hindi,Production House 11,February,A
Singham,1986,Thriller,S. S. Rajamouli,Ranveer Singh,194000000,119439786.5,7.2,6.9,36.37,131,Telugu,Production House 247,May,U
Barfi,2017,Action,Karan Johar,Irrfan Khan,185000000,426674716.3,2.7,8.7,50.1,143,Hindi,Production House 450,June,U/A
Swades,1991,Horror,Zoya Akhtar,Amitabh Bachchan,79000000,118301064.3,5.5,4.2,44.7,102,Hindi,Production House 287,June,A
PK,2020,Thriller,Rohit Shetty,Ayushmann Khurrana,18000000,30411069.15,7.6,5.7,58.3,139,Hindi,Production House 428,May,A
Chak De India,2013,Romance,Rohit Shetty,Salman Khan,191000000,166454549.5,6.9,4.7,10.18,133,Hindi,Production House 56,October,A
Sholay,2004,Drama,Karan Johar,Prabhas,158000000,497730427.1,7.5,1.4,50.37,92,Hindi,Production House 345,May,U/A
PK,1996,Drama,Shoojit Sircar,Irrfan Khan,176000000,461831308.2,9,7.8,55.48,142,Hindi,Production House 234,August,U/A
War,2012,Horror,Neeraj Pandey,Vijay,152000000,589429126.5,9.7,9.5,88.1,145,Tamil,Production House 147,May,U/A
Chak De India,2002,Sci-Fi,Vetrimaaran,Pankaj Tripathi,137000000,677046302.4,5.1,4.8,57.11,143,Hindi,Production House 288,November,U/A
Article 15,1988,Sci-Fi,Anurag Kashyap,Ayushmann Khurrana,197000000,204466898.5,1.5,2.3,54.73,146,Hindi,Production House 420,June,U
Andhadhun,1985,Romance,Mani Ratnam,Irrfan Khan,15000000,25888693.5,8.5,5.5,81.21,101,Tamil,Production House 71,October,A
3 Idiots,1981,Drama,Mani Ratnam,Ranveer Singh,51000000,182123222.4,2.1,9.1,6.5,148,Hindi,Production House 142,January,U/A
PK,2017,Horror,Sanjay Leela Bhansali,Kartik Aaryan,14000000,21950656.57,3,6.5,64.8,154,Hindi,Production House 379,January,U
Lagaan,1988,Action,Kabir Khan,Prabhas,65000000,41318148.29,6.9,2.9,81.18,126,Telugu,Production House 173,January,A
Lagaan,1982,Romance,Rajkumar Hirani,Irrfan Khan,115000000,114324927.9,7.7,6,9.46,109,Hindi,Production House 257,April,U
Jawan,1995,Sci-Fi,Sanjay Leela Bhansali,Prabhas,49000000,120114737.5,7.3,3.9,81.16,161,Telugu,Production House 180,March,U/A
Singham,2004,Adventure,Kabir Khan,Salman Khan,51000000,124365077.7,4.9,1.2,78.72,126,Hindi,Production House 289,May,U
ZNMD,2003,Action,Rohit Shetty,Vicky Kaushal,166000000,809311603.9,9.3,9.2,0.09,120,Hindi,Production House 162,July,A
Barfi,2008,Romance,Vetrimaaran,Prabhas,122000000,316806568.6,8.5,8.2,24.62,114,Telugu,Production House 400,June,U/A
Bajrangi Bhaijaan,2023,Action,Lokesh Kanagaraj,Rajkummar Rao,145000000,514939179.1,7,9.3,15.13,139,Tamil,Production House 351,March,U/A
Queen,2019,Action,Rohit Shetty,Vijay,27000000,73302421.71,5,7.1,51.13,138,Hindi,Production House 121,February,U
Jawan,2005,Drama,Shoojit Sircar,Ajay Devgn,40000000,68585329.8,5.2,5,91.4,97,Hindi,Production House 130,February,A
Gully Boy,2017,Adventure,Sanjay Leela Bhansali,Hrithik Roshan,195000000,190033309.6,2.6,5.4,60.27,124,Hindi,Production House 190,March,U/A
Drishyam,2014,Romance,Mani Ratnam,Irrfan Khan,80000000,349266645.8,8,2.8,60.18,102,Tamil,Production House 332,October,U
3 Idiots,2002,Thriller,Sanjay Leela Bhansali,Rajkummar Rao,179000000,212469800.4,8.8,4.5,12.28,110,Hindi,Production House 19,March,A
KGF,1983,Drama,Anurag Kashyap,Prabhas,113000000,105770403.7,8.4,2.5,66.64,162,Telugu,Production House 399,March,U/A
3 Idiots,2021,Action,Shoojit Sircar,Sushant Singh Rajput,198000000,289521292.4,5.9,5.3,88.83,113,Hindi,Production House 464,August,U/A
Kahaani,1993,Action,Shoojit Sircar,Vijay,88000000,44985501.14,8.5,6.8,42.93,137,Tamil,Production House 272,March,U
Kantara,2018,Sci-Fi,S. S. Rajamouli,Irrfan Khan,84000000,69202826.63,8.1,3.3,68.18,122,Hindi,Production House 412,June,U
Kahaani,1986,Thriller,S. S. Rajamouli,Ranveer Singh,18000000,60450938.24,8.5,9.5,29.49,90,Hindi,Production House 459,September,A
DDLJ,1987,Sci-Fi,Vetrimaaran,Amitabh Bachchan,185000000,295253382.7,9.8,6.8,26.89,161,Tamil,Production House 134,August,U
Sooryavanshi,2021,Thriller,Karan Johar,Ayushmann Khurrana,70000000,141631310.1,8.3,3,18.51,92,Hindi,Production House 283,June,U/A
Kahaani,1998,Action,S. S. Rajamouli,Pankaj Tripathi,181000000,770851650.3,3.4,2.5,24.15,103,Hindi,Production House 209,October,U/A
PK,1981,Thriller,Lokesh Kanagaraj,Rajkummar Rao,20000000,79560962.46,8.4,2.5,34.28,103,Tamil,Production House 423,May,A
Baahubali,1980,Adventure,Zoya Akhtar,Shah Rukh Khan,47000000,127610473.4,4.4,9.8,56.67,138,Hindi,Production House 395,May,A
DDLJ,2021,Comedy,Shoojit Sircar,Vijay,106000000,345389866,5.6,3.1,78.07,122,Tamil,Production House 141,August,A
Article 15,2017,Sci-Fi,Shoojit Sircar,Irrfan Khan,117000000,103679638.1,8.2,2.5,28.96,93,Hindi,Production House 496,July,U
PK,1992,Sci-Fi,Imtiaz Ali,Akshay Kumar,197000000,773653702.9,3.9,2.5,16.81,127,Hindi,Production House 77,November,U/A
3 Idiots,2021,Drama,Neeraj Pandey,Salman Khan,13000000,36697200.8,1.2,4.1,44.98,114,Hindi,Production House 328,May,U
Swades,2023,Adventure,Neeraj Pandey,Rajkummar Rao,153000000,469598456.7,7.5,6.5,78.95,136,Hindi,Production House 25,November,U/A
RRR,2003,Romance,S. S. Rajamouli,Irrfan Khan,86000000,300558935.6,9.1,1.7,38.93,102,Telugu,Production House 169,October,A
Bajrangi Bhaijaan,2011,Sci-Fi,Meghna Gulzar,Rajkummar Rao,114000000,313589928.4,9.4,2.4,91.33,128,Hindi,Production House 124,June,U/A
Sooryavanshi,2009,Thriller,Sanjay Leela Bhansali,Amitabh Bachchan,102000000,290456917.3,8.2,9.8,24.79,114,Hindi,Production House 165,December,U/A
Sooryavanshi,1985,Thriller,Lokesh Kanagaraj,Amitabh Bachchan,88000000,241855692.4,9.4,6.6,75.83,162,Tamil,Production House 270,May,A
Kantara,2017,Comedy,Rajkumar Hirani,Ayushmann Khurrana,47000000,128576896.6,8.4,2.3,46.78,132,Hindi,Production House 405,November,A
Padmaavat,2012,Romance,Sanjay Leela Bhansali,Aamir Khan,70000000,271314669.7,1.3,6,10.71,127,Hindi,Production House 43,September,U/A
Jawan,2023,Comedy,Kabir Khan,Rajkummar Rao,136000000,329451618.6,4.1,3.2,28.11,124,Hindi,Production House 300,November,U
Pathaan,2002,Romance,Karan Johar,Irrfan Khan,127000000,65153531.52,4,9.8,85.82,144,Hindi,Production House 468,June,A
PK,1989,Sci-Fi,Karan Johar,Rajkummar Rao,113000000,367734125.1,3,4.5,0.59,139,Hindi,Production House 468,March,A
RRR,1994,Sci-Fi,Vetrimaaran,Kartik Aaryan,106000000,507420000.5,8.2,2.3,75.63,167,Hindi,Production House 298,March,U
Sooryavanshi,2002,Drama,Vetrimaaran,Pankaj Tripathi,139000000,230228374.2,5.7,6.5,81.14,123,Hindi,Production House 411,October,U
Andhadhun,2015,Thriller,Karan Johar,Kartik Aaryan,90000000,375558299.1,8.5,2.2,11.98,114,Hindi,Production House 33,October,U
Article 15,1980,Drama,Zoya Akhtar,Nawazuddin Siddiqui,88000000,224374122.5,6.4,5.7,96.22,131,Hindi,Production House 415,April,U
Baahubali,1987,Romance,Mani Ratnam,Salman Khan,190000000,644749669.8,6.3,8.7,87.23,140,Tamil,Production House 144,May,A
DDLJ,1982,Thriller,Rajkumar Hirani,Akshay Kumar,8000000,36071454.32,4.5,4.1,17.85,126,Hindi,Production House 135,December,U
PK,1993,Sci-Fi,Neeraj Pandey,Irrfan Khan,128000000,508103841,8.1,5.3,24.15,155,Hindi,Production House 376,September,U
Tanu Weds Manu,1996,Comedy,Anurag Kashyap,Allu Arjun,24000000,107533926,7.1,2,81.85,174,Telugu,Production House 16,October,U
Swades,2013,Sci-Fi,Vetrimaaran,Ranbir Kapoor,39000000,21170756.29,4,6.8,54.64,123,Tamil,Production House 46,November,U/A
Sholay,1985,Sci-Fi,Neeraj Pandey,Kartik Aaryan,101000000,135634660.5,9.9,2,92.26,172,Hindi,Production House 4,February,A
Gully Boy,1984,Action,Zoya Akhtar,Vijay,191000000,459493447.6,5.2,3.9,97.91,127,Hindi,Production House 3,February,A
3 Idiots,2020,Comedy,Karan Johar,Ranbir Kapoor,177000000,763805991.7,3.8,8.6,34.34,120,Hindi,Production House 350,January,U
Jawan,2019,Action,Zoya Akhtar,Salman Khan,18000000,76909746.51,7.2,2.3,9.7,115,Hindi,Production House 275,August,A
RRR,2008,Adventure,Neeraj Pandey,Nawazuddin Siddiqui,154000000,205302250.1,3,8.6,70.35,165,Hindi,Production House 347,January,U
Dangal,2014,Adventure,Lokesh Kanagaraj,Shah Rukh Khan,52000000,59284729.34,8.5,6.7,92.31,115,Hindi,Production House 285,June,A
Gully Boy,1997,Comedy,Anurag Kashyap,Rajkummar Rao,162000000,689498075.3,7.1,2.3,16.49,152,Hindi,Production House 369,February,U
Pathaan,2019,Romance,Meghna Gulzar,Rajkummar Rao,33000000,96902992.66,8.8,2.5,98.54,137,Hindi,Production House 236,September,A
Queen,2009,Drama,Rajkumar Hirani,Amitabh Bachchan,40000000,132818556.1,4,7,19.59,168,Hindi,Production House 337,April,U/A
Sholay,1994,Adventure,Lokesh Kanagaraj,Salman Khan,46000000,190505657.5,8.7,7.6,8.63,99,Hindi,Production House 65,October,U/A
Drishyam,1994,Action,S. S. Rajamouli,Pankaj Tripathi,33000000,47944349.84,5.5,6.9,49.57,125,Telugu,Production House 277,November,U
Queen,1995,Romance,Zoya Akhtar,Aamir Khan,139000000,154871242.3,1.5,7.4,80.56,129,Hindi,Production House 225,May,U
Bajrangi Bhaijaan,2012,Drama,Vetrimaaran,Shah Rukh Khan,164000000,715974665.9,2.7,4.3,35.44,115,Hindi,Production House 183,February,A
Singham,1989,Drama,Vetrimaaran,Ayushmann Khurrana,145000000,145432604.1,3,1,33.18,98,Tamil,Production House 89,May,U/A
War,1998,Thriller,Kabir Khan,Ajay Devgn,145000000,130038005.1,7.9,5.8,19.71,142,Hindi,Production House 11,July,U
KGF,2016,Sci-Fi,S. S. Rajamouli,Sushant Singh Rajput,186000000,324911922,2.8,6.4,98.61,170,Telugu,Production House 99,May,A
Swades,1982,Thriller,Neeraj Pandey,Ayushmann Khurrana,146000000,281169701.2,6.1,7.2,34.19,159,Hindi,Production House 420,January,U/A
Article 15,2015,Sci-Fi,Rajkumar Hirani,Nawazuddin Siddiqui,138000000,218745054.9,6.9,3.1,66.65,175,Hindi,Production House 39,September,U/A
Pushpa,1983,Thriller,Neeraj Pandey,Nawazuddin Siddiqui,148000000,567921099.5,8,2.5,13.24,169,Hindi,Production House 50,February,A
DDLJ,1990,Action,Neeraj Pandey,Irrfan Khan,45000000,219604207.8,8.1,8.5,44.98,175,Hindi,Production House 284,April,A
Pathaan,2020,Action,Anurag Kashyap,Sushant Singh Rajput,184000000,257261631.8,7.5,8.6,79.58,142,Hindi,Production House 20,June,A
Lagaan,2012,Sci-Fi,Meghna Gulzar,Sushant Singh Rajput,116000000,466126842.9,2.9,9.9,97.03,128,Hindi,Production House 167,January,U
Queen,2007,Adventure,Rajkumar Hirani,Rajkummar Rao,89000000,62219005.21,5.9,4.1,17.73,150,Hindi,Production House 491,September,U/A
PK,2011,Drama,Kabir Khan,Prabhas,112000000,115926940.9,3.6,1.5,9.47,141,Telugu,Production House 409,September,U
Chak De India,1995,Action,Lokesh Kanagaraj,Vijay,148000000,417068199.7,8,5.3,98.75,157,Tamil,Production House 383,August,A
Kahaani,1988,Drama,Karan Johar,Ayushmann Khurrana,9000000,44984159.21,7.7,5.3,55.42,157,Hindi,Production House 253,September,U
Pushpa,1990,Romance,Rajkumar Hirani,Prabhas,156000000,744454686.1,3.1,1.3,34.54,162,Telugu,Production House 174,April,A
Sooryavanshi,1985,Comedy,Kabir Khan,Ranveer Singh,175000000,175655065.4,6.8,6.2,96.03,167,Hindi,Production House 200,September,U
Bajrangi Bhaijaan,2006,Drama,Shoojit Sircar,Vijay,197000000,310982451.1,1.5,3.3,39.02,131,Tamil,Production House 288,April,U
3 Idiots,1991,Drama,Karan Johar,Prabhas,14000000,66584886.53,7.9,2.1,23.2,179,Telugu,Production House 447,May,A
Drishyam,2001,Romance,Rajkumar Hirani,Amitabh Bachchan,191000000,225047197.2,8,6.4,80.35,156,Hindi,Production House 212,June,U
Tanu Weds Manu,2019,Sci-Fi,Lokesh Kanagaraj,Hrithik Roshan,39000000,149859465.2,4.1,3.5,31.4,164,Tamil,Production House 368,November,A
Dangal,2016,Thriller,S. S. Rajamouli,Amitabh Bachchan,35000000,17674513.69,8.3,6.1,32.2,140,Telugu,Production House 370,July,U/A
Kantara,2000,Horror,Imtiaz Ali,Nawazuddin Siddiqui,124000000,414495353.3,8.7,1.1,44.5,92,Hindi,Production House 300,November,U/A
Pushpa,2012,Adventure,Imtiaz Ali,Ajay Devgn,83000000,226233257.6,2.7,4.3,69.3,102,Hindi,Production House 425,March,U/A
Barfi,1996,Sci-Fi,Neeraj Pandey,Salman Khan,143000000,374604767.5,4.2,8.8,84.18,102,Hindi,Production House 84,February,U/A
Padmaavat,2008,Thriller,Karan Johar,Nawazuddin Siddiqui,13000000,55007717.42,3.3,6.9,22.62,150,Hindi,Production House 249,December,U/A
Barfi,2019,Thriller,Lokesh Kanagaraj,Aamir Khan,198000000,170934301.6,4.4,8.8,36.25,113,Hindi,Production House 9,May,U
Baahubali,1989,Adventure,Rajkumar Hirani,Aamir Khan,48000000,105503743.1,5,7.7,49.62,109,Hindi,Production House 373,October,U/A
Queen,1997,Sci-Fi,Vetrimaaran,Rajkummar Rao,120000000,300860814.3,5.6,7.5,2.56,163,Hindi,Production House 461,March,U/A
Sholay,1992,Sci-Fi,Neeraj Pandey,Shah Rukh Khan,148000000,156535088.7,1.3,8.8,69.71,176,Hindi,Production House 38,November,U
War,2006,Adventure,Sanjay Leela Bhansali,Ayushmann Khurrana,124000000,109801932.9,1.5,1.2,56.6,144,Hindi,Production House 470,March,U/A
Gully Boy,1989,Drama,Neeraj Pandey,Ranveer Singh,180000000,235487586.7,6.9,4.8,13.36,124,Hindi,Production House 124,July,U/A
Article 15,2011,Drama,Vetrimaaran,Ranveer Singh,57000000,90328741.46,5,9.6,13.03,167,Tamil,Production House 350,June,U
Gully Boy,2020,Action,Zoya Akhtar,Allu Arjun,69000000,334461809.3,1.8,2.6,89.52,169,Hindi,Production House 37,November,U
Andhadhun,2024,Action,Imtiaz Ali,Pankaj Tripathi,180000000,475247106.1,4.5,6.9,68.33,119,Hindi,Production House 298,December,A
Dangal,1982,Comedy,Sanjay Leela Bhansali,Nawazuddin Siddiqui,74000000,206926247.9,5.3,8.1,38.81,172,Hindi,Production House 151,March,A
Tanu Weds Manu,2001,Comedy,Rohit Shetty,Ranveer Singh,50000000,184074596.1,6.7,9.4,33.81,122,Hindi,Production House 75,July,A
3 Idiots,2006,Horror,Kabir Khan,Ayushmann Khurrana,125000000,447400073.8,2.1,8.8,31.69,130,Hindi,Production House 206,October,U
Singham,1982,Sci-Fi,Zoya Akhtar,Prabhas,125000000,345312288.7,10,7.1,65.47,155,Hindi,Production House 144,November,A
Dangal,2012,Action,Mani Ratnam,Vicky Kaushal,37000000,75083092.63,5.3,7.4,17.87,138,Hindi,Production House 39,October,U
Drishyam,1981,Sci-Fi,Karan Johar,Shah Rukh Khan,184000000,366110802.3,7.1,4.1,98.74,97,Hindi,Production House 476,June,U/A
Kahaani,1990,Drama,Neeraj Pandey,Ajay Devgn,85000000,64574355.71,9.2,3,68.71,173,Hindi,Production House 310,January,A
Drishyam,1989,Romance,Imtiaz Ali,Pankaj Tripathi,59000000,268351802,1.3,9.6,12.71,92,Hindi,Production House 381,May,U/A
Pushpa,2018,Action,S. S. Rajamouli,Salman Khan,183000000,725096390.3,6.4,9.8,13.8,174,Telugu,Production House 114,April,U
